"","rating","name","address","price","reviews","reservations","delivery","takeaway","takescard","mealtype","parking","kidfriendly","groupfriendly","dresscode","atmosphere","noise","alcohol","sitoutside","wifi","tv","serving","catering","handicapfriendly","dancing","happyhour","closet","smoking","workfriendly","music","pooltable"
"1",5,"
            Noma
        ","Strandgade 93","
                        Mere end 700 kr
                    ",130,1,0,0,1,"
                                Middag
                            ","
                                Privat plads
                            ",0,1,"
                                Elegant
                            ","
                                Hyggelig
                            ","
                                Lavt
                            ","
                                Velassorteret bar
                            ",0,"
                                Nej
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"2",4.5,"
            KöD Vesterbro
        ","Vesterbrogade 33","
                        400-699 kr
                    ",9,1,0,0,1,NA,NA,0,1,"
                                Uformel
                            ",NA,"
                                Stille
                            ","
                                Velassorteret bar
                            ",0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"3",4.5,"
            Smagsløget
        ","Nørregade 38","
                        Under 199 kr
                    ",103,0,0,1,1,"
                                Frokost
                            ","
                                Gade
                            ",1,0,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Nej
                            ",0,"
                                Nej
                            ",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"4",4.5,"
            Uformel
        ","Studiestræde 69","
                        400-699 kr
                    ",29,1,0,0,1,"
                                Middag
                            ","
                                Gade
                            ",0,1,"
                                Uformel
                            ","
                                Trendy
                            ","
                                Højt
                            ","
                                Velassorteret bar
                            ",0,"
                                Nej
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"
            Studio
        ","Havnegade 44","
                        Mere end 700 kr
                    ",19,1,0,0,1,NA,NA,0,0,"
                                Elegant
                            ",NA,"
                                Lavt
                            ","
                                Velassorteret bar
                            ",0,"
                                Nej
                            ",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",4.5,"
            Social
        ","Peblinge Dossering 4, kld, th","
                        Under 199 kr
                    ",30,0,0,1,1,"
                                Morgenmad, Brunch
                            ",NA,1,1,"
                                Uformel
                            ","
                                Trendy
                            ","
                                Lavt
                            ","
                                Nej
                            ",1,"
                                Gratis
                            ",0,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"7",4.5,NA,"Trangravsvej 14PapirøenVarehus 7 & 8","
                        Under 199 kr
                    ",253,0,0,1,1,"
                                Frokost
                            ","
                                Gade
                            ",1,1,"
                                Uformel
                            ","
                                Hipster
                            ","
                                Højt
                            ","
                                Velassorteret bar
                            ",1,"
                                Nej
                            ",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8",4.5,"
            The Red Box
        ","Store Kongensgade 42","
                        200-399 kr
                    ",27,1,0,0,1,"
                                Middag
                            ","
                                Gade
                            ",0,1,"
                                Uformel
                            ","
                                Stilfuld
                            ","
                                Lavt
                            ","
                                Velassorteret bar
                            ",0,"
                                Nej
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"9",4.5,NA,"Frederiksholms Kanal 4","
                        Under 199 kr
                    ",57,1,0,1,1,"
                                Frokost
                            ",NA,1,0,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Kun øl og vin
                            ",0,"
                                Gratis
                            ",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4.5,"
            Restaurant Radio
        ","Julius Thomsens Gade 12","
                        Mere end 700 kr
                    ",30,1,0,0,1,NA,NA,0,1,"
                                Uformel
                            ","
                                Trendy
                            ","
                                Stille
                            ","
                                Velassorteret bar
                            ",0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4.5,"
            Hafnia Bar
        ","Store Regnegade 26 A","
                        Under 199 kr
                    ",39,0,0,1,1,"
                                Frokost
                            ","
                                Gade
                            ",1,1,"
                                Uformel
                            ","
                                Trendy
                            ","
                                Lavt
                            ","
                                Nej
                            ",0,"
                                Gratis
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"12",4,"
            Halifax
        ","Larsbjørnsstræde 9","
                        200-399 kr
                    ",65,0,0,1,1,"
                                Frokost
                            ","
                                Gade
                            ",1,1,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Kun øl og vin
                            ",0,"
                                Gratis
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"13",4.5,"
            Next Door Cafe
        ","Larsbjørnsstræde 23","
                        Under 199 kr
                    ",97,0,0,1,1,"
                                Morgenmad
                            ",NA,1,1,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Nej
                            ",1,"
                                Gratis
                            ",0,1,1,0,NA,NA,NA,NA,NA,NA,NA
"14",4.5,"
            Mad & Kaffe
        ","Sønder Boulevard 68","
                        Under 199 kr
                    ",117,1,0,1,1,"
                                Brunch
                            ","
                                Gade
                            ",1,1,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Kun øl og vin
                            ",1,"
                                Gratis
                            ",0,1,0,1,NA,NA,NA,NA,NA,NA,NA
"15",5,NA,"Studiestræde 17","
                        200-399 kr
                    ",11,1,0,0,1,NA,NA,0,0,"
                                Elegant
                            ",NA,"
                                Lavt
                            ",NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4,"
            MASH
        ","Bredgade 20","
                        400-699 kr
                    ",54,1,0,0,1,"
                                Middag
                            ","
                                Gade
                            ",0,1,"
                                Elegant
                            ","
                                Trendy
                            ","
                                Lavt
                            ","
                                Velassorteret bar
                            ",0,"
                                Gratis
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
